"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Rost%"
"Emmanuel Clase","CLE","RP","68.9","67","35","1","1","2.63","1.02","20","56","14","5","66","4","3","100%"
"Devin Williams","NYY","RP","63.0","87","32","1","2","2.81","1.13","20","42","29","5","58","4","3","99%"
"Josh Hader","HOU","RP","67.9","96","33","1","1","3.15","1.08","24","47","27","8","67","5","3","99%"
"Edwin Diaz","NYM","RP","65.3","94","35","2","1","2.94","1.05","21","45","23","6","62","4","3","98%"
"Mason Miller","ATH","RP","67.0","98","29","1","1","2.72","1.00","20","44","23","6","62","3","3","98%"
"Ryan Helsley","STL","RP","65.6","80","34","2","1","2.97","1.12","22","49","25","6","63","4","3","98%"
"Raisel Iglesias","ATL","RP","68.6","74","33","1","1","3.20","1.09","24","58","17","8","66","4","3","96%"
"Andres Munoz","SEA","RP","63.6","82","27","1","3","2.75","1.10","19","45","25","5","61","4","3","89%"
"Jhoan Duran","MIN","RP","64.6","79","26","1","4","2.82","1.12","20","52","20","4","62","5","3","90%"
"Felix Bautista","BAL","RP","58.6","84","27","1","3","2.74","1.06","18","39","24","5","55","4","2","92%"
"Ryan Walker","SF","RP","69.7","83","26","1","6","3.03","1.10","23","55","22","6","66","4","3","93%"
"Robert Suarez","SD","RP","65.1","64","28","2","3","3.62","1.18","26","56","21","8","63","4","3","91%"
"Tanner Scott","LAD","RP","67.4","82","24","1","6","3.07","1.22","23","51","31","5","65","5","3","86%"
"Pete Fairbanks","TB","RP","57.1","64","23","1","5","3.44","1.20","22","47","21","6","55","3","3","39%"
"Jeff Hoffman","TOR","RP","65.4","82","25","1","3","3.18","1.11","23","50","23","7","65","3","3","79%"
"David Bednar","PIT","RP","63.3","66","25","2","4","3.83","1.24","27","56","23","7","62","3","3","74%"
"Alexis Diaz","CIN","RP","66.0","70","23","2","4","4.20","1.31","31","54","32","8","64","3","4","79%"
"Trevor Megill","MIL","RP","60.9","73","25","1","3","3.59","1.21","24","52","22","7","58","3","3","45%"
"Kenley Jansen","LAA","RP","59.6","68","23","1","3","3.82","1.20","25","49","23","8","58","3","3","19%"
"Jordan Romano","PHI","RP","56.4","60","21","1","4","3.94","1.25","25","50","21","8","52","3","3","13%"
"Lucas Erceg","KC","RP","67.3","75","11","1","11","3.58","1.26","27","57","27","5","63","4","3","44%"
"Carlos Estevez","KC","RP","64.7","63","20","1","5","4.01","1.25","29","58","23","8","62","4","3","13%"
"Kirby Yates","LAD","RP","60.8","75","10","1","12","3.39","1.20","23","44","29","7","59","4","2","30%"
"Ryan Pressly","CHC","RP","61.2","62","24","2","5","3.51","1.21","24","56","18","6","59","3","3","73%"
"Clay Holmes","NYM","RP","140.6","130","0","1","1","3.68","1.32","57","134","52","11","43","10","7","18%"
"Justin Martinez","ARI","RP","67.7","83","18","1","9","3.19","1.30","24","53","35","4","63","4","3","68%"
"A.J. Puk","ARI","RP","64.5","77","14","1","10","3.35","1.17","24","53","22","7","62","4","3","30%"
"Ben Joyce","LAA","RP","59.0","69","8","1","10","3.48","1.25","23","47","27","6","56","3","3","9%"
"Drew Rasmussen","TB","SP,RP","113.0","111","0","0","2","3.42","1.14","43","101","28","12","37","7","5","6%"
"Kyle Finnegan","WSH","RP","65.4","61","22","2","5","4.00","1.31","29","61","24","8","62","3","4","17%"
"Aroldis Chapman","BOS","RP","63.4","92","12","1","10","3.36","1.29","24","45","37","6","63","4","3","19%"
"Liam Hendriks","BOS","RP","57.6","64","17","1","7","3.78","1.19","24","51","18","8","54","3","3","10%"
"Bowden Francis","TOR","SP,RP","151.4","139","0","0","1","4.13","1.17","70","137","40","25","32","9","8","64%"
"Porter Hodge","CHC","RP","63.3","70","10","1","12","3.63","1.27","26","51","30","6","57","3","3","11%"
"Jason Foley","DET","RP","63.6","51","15","1","8","3.70","1.26","26","62","18","6","62","3","3","17%"
"Jason Adam","SD","RP","68.3","78","5","1","16","3.21","1.08","24","51","23","7","67","4","3","27%"
"Griffin Jax","MIN","RP","69.4","81","8","1","15","3.14","1.09","24","56","19","7","67","4","3","32%"
"Luke Weaver","NYY","RP","69.6","76","5","1","16","3.78","1.18","29","60","22","9","61","3","3","30%"
"Camilo Doval","SF","RP","64.7","77","9","1","12","3.35","1.26","24","52","30","5","62","4","3","5%"
"Calvin Faucher","MIA","RP","62.3","64","18","1","7","4.08","1.40","28","59","28","6","59","2","3","3%"
"Chris Martin","TEX","RP","58.9","60","16","1","8","3.32","1.11","22","55","10","6","55","3","2","3%"
"Jackson Jobe","DET","SP","106.6","88","0","0","0","4.46","1.33","53","102","40","15","26","5","6","14%"
"Michael Kopech","LAD","RP","53.4","64","4","1","11","3.83","1.26","23","42","25","7","49","3","3","12%"
"Evan Phillips","LAD","RP","51.2","57","2","1","8","3.37","1.13","19","42","16","6","50","3","2","2%"
"Edwin Uceta","TB","RP","65.0","71","8","1","12","3.89","1.24","28","55","26","9","59","3","3","2%"
"Orion Kerkering","PHI","RP","63.5","72","5","1","12","3.10","1.13","22","52","19","5","60","4","3","7%"
"Nick Martinez","CIN","SP,RP","154.0","129","0","0","1","4.15","1.27","71","155","40","21","41","8","8","29%"
"Blake Treinen","LAD","RP","57.3","62","5","1","14","3.43","1.16","22","49","17","6","54","4","3","4%"
"Cade Smith","CLE","RP","69.9","89","2","1","18","2.99","1.11","23","54","24","6","67","4","3","25%"
"Grant Holmes","ATL","SP,RP","112.4","110","0","0","1","4.04","1.29","50","109","36","14","43","6","5","6%"
"Matt Brash","SEA","RP","43.1","56","2","1","4","3.17","1.23","15","34","19","4","42","2","2","1%"
"Chad Green","TOR","RP","61.7","58","7","2","13","3.95","1.19","27","55","18","9","59","3","3","4%"
"Jose Alvarado","PHI","RP","61.0","69","4","1","13","3.46","1.27","23","50","28","5","60","3","3","2%"
"Jeremiah Estrada","SD","RP","63.9","87","3","1","16","3.34","1.18","24","48","28","7","62","4","3","5%"
