"Player","Team","Positions","IP","K","W","L","ERA","WHIP","ER","H","BB","HR","G","GS","QS","CG","Rost%"
"Tarik Skubal","DET","SP","190.4","221","14","8","2.88","1.01","61","150","41","18","31","31","20","0","100%"
"Paul Skenes","PIT","SP","172.0","211","12","7","2.83","1.05","54","133","48","15","30","30","19","0","100%"
"Zack Wheeler","PHI","SP","197.2","210","14","8","3.30","1.08","72","162","51","22","31","31","19","0","100%"
"Logan Gilbert","SEA","SP","195.2","201","13","9","3.39","1.06","74","164","42","24","31","31","19","1","100%"
"Garrett Crochet","BOS","SP","153.6","200","12","7","3.14","1.09","54","122","46","16","30","30","16","0","100%"
"Chris Sale","ATL","SP","170.0","207","13","7","3.12","1.08","59","140","44","17","29","29","18","0","100%"
"Corbin Burnes","ARI","SP","187.8","185","13","8","3.53","1.16","74","164","54","20","31","31","18","0","100%"
"Cole Ragans","KC","SP","179.5","204","12","9","3.52","1.20","70","149","67","19","31","31","17","1","100%"
"Dylan Cease","SD","SP","184.3","217","13","9","3.50","1.17","72","146","68","21","31","31","18","1","100%"
"Blake Snell","LAD","SP","159.0","207","12","6","3.34","1.17","59","117","70","17","29","29","16","1","100%"
"Shohei Ohtani","LAD","DH,SP","114.3","133","8","5","3.43","1.13","44","90","39","14","20","20","11","0","100%"
"Yoshinobu Yamamoto","LAD","SP","159.4","167","12","6","3.37","1.10","60","135","41","17","27","27","15","1","99%"
"Michael King","SD","SP","172.3","186","12","9","3.58","1.21","69","148","61","20","30","30","16","0","97%"
"Framber Valdez","HOU","SP","186.4","178","13","8","3.34","1.19","69","162","60","16","29","29","18","2","99%"
"Pablo Lopez","MIN","SP","189.8","199","12","10","3.70","1.16","78","173","47","24","31","31","17","0","99%"
"Jacob deGrom","TEX","SP","120.2","158","9","5","2.96","0.94","40","89","24","14","23","23","14","0","91%"
"Shota Imanaga","CHC","SP","171.4","170","11","8","3.64","1.12","69","155","37","25","29","29","16","1","97%"
