East Bay Hackers,,
NO.,PLAYER,ROUND
9,"Bobby Witt Jr. KC, SS",1
16,"Bryce Harper Phi, 1B",2
33,"Michael Harris II Atl, CF",3
40,"Pablo Lopez Min, SP",4
57,"Matt McLain Cin, SS",5
64,"Tarik Skubal Det, SP",6
81,"Justin Steele ChC, SP",7
88,"Eury Perez Mia, SP",8
105,"George Springer Tor, RF",9
112,"Cole Ragans KC, RP",10
129,"Brandon Nimmo NYM, CF",11
136,"Andres Munoz Sea, RP",12
153,"Kenley Jansen Bos, RP",13
160,"Wyatt Langford Tex, LF",14
177,"Mitch Garver Sea, C",15
184,"Alec Bohm Phi, 3B",16
201,"Riley Greene Det, CF",17
208,"Jackson Chourio Mil, CF",18
225,"Carlos Correa Min, SS",19
232,"Kyle Harrison SF, SP",20
249,"Max Kepler Min, RF",21
256,"Josh Bell Mia, 1B",22
273,"Abner Uribe Mil, RP",23
280,"Logan O'Hoppe LAA, C",24
Dutch Destroyer,,
NO.,PLAYER,ROUND
5,"Corbin Carroll Ari, LF",1
20,"Rafael Devers Bos, 3B",2
29,"Gunnar Henderson Bal, 3B",3
44,"Framber Valdez Hou, SP",4
53,"Kyle Schwarber Phi, LF",5
68,"Christian Walker Ari, 1B",6
77,"Ketel Marte Ari, 2B",7
92,"Joe Ryan Min, SP",8
101,"David Bednar Pit, RP",9
116,"Spencer Steer Cin, 1B",10
125,"Merrill Kelly Ari, SP",11
140,"Jordan Walker StL, RF",12
149,"Zack Gelof Oak, 2B",13
164,"Willson Contreras StL, C",14
173,"Starling Marte NYM, RF",15
188,"Carlos Estevez LAA, RP",16
197,"Junior Caminero TB, 3B",17
212,"Edouard Julien Min, 2B",18
221,"Jason Foley Det, RP",19
236,"Andrew Vaughn ChW, 1B",20
245,"Byron Buxton Min, DH",21
260,"Hunter Harvey Wsh, RP",22
269,"Reid Detmers LAA, SP",23
284,"Yusei Kikuchi Tor, SP",24
CV Bombers,,
NO.,PLAYER,ROUND
3,"Juan Soto NYY, LF",1
22,"Austin Riley Atl, 3B",2
27,"Corey Seager Tex, SS",3
46,"Will Smith LAD, C",4
51,"Josh Hader Hou, RP",5
70,"Gerrit Cole NYY, SP",6
75,"Mike Trout LAA, CF",7
94,"Alex Bregman Hou, 3B",8
99,"Ha-Seong Kim SD, 2B",9
118,"Isaac Paredes TB, 3B",10
123,"Josh Naylor Cle, 1B",11
142,"Kyle Bradish Bal, SP",12
147,"Jose Berrios Tor, SP",13
166,"James Outman LAD, CF",14
171,"Jordan Montgomery FA, SP",15
190,"Erik Swanson Tor, RP",16
195,"Ryan Pressly Hou, RP",17
214,"David Robertson Tex, RP",18
219,"Max Scherzer Tex, SP",19
238,"J.D. Martinez FA, DH",20
243,"Dean Kremer Bal, SP",21
262,"Giancarlo Stanton NYY, RF",22
267,"Joc Pederson Ari, LF",23
286,"Anthony Rendon LAA, 3B",24
Diamond In The Ruf,,
NO.,PLAYER,ROUND
4,"Kyle Tucker Hou, RF",1
21,"Vladimir Guerrero Jr. Tor, 1B",2
28,"Bo Bichette Tor, SS",3
45,"Aaron Nola Phi, SP",4
52,"Edwin Diaz NYM, RP",5
69,"Dylan Cease SD, SP",6
76,"Jordan Romano Tor, RP",7
93,"Jazz Chisholm Jr. Mia, CF",8
100,"Bobby Miller LAD, SP",9
117,"Jackson Holliday Bal, SS",10
124,"Masataka Yoshida Bos, LF",11
141,"Luis Arraez Mia, 2B",12
148,"Steven Kwan Cle, LF",13
165,"Yainer Diaz Hou, C",14
172,"Michael King SD, RP",15
189,"Chris Sale Atl, SP",16
196,"Christopher Morel ChC, CF",17
213,"A.J. Puk Mia, RP",18
220,"Maikel Garcia KC, 3B",19
237,"Nathan Eovaldi Tex, SP",20
244,"Brandon Drury LAA, 2B",21
261,"Colt Keith Det, 3B",22
268,"Gavin Stone LAD, SP",23
285,"Jarred Kelenic Atl, LF",24
Wonger Jr,,
NO.,PLAYER,ROUND
1,"Ronald Acuna Jr. Atl, RF",1
24,"Zack Wheeler Phi, SP",2
25,"Marcus Semien Tex, 2B",3
48,"George Kirby Sea, SP",4
49,"Paul Goldschmidt StL, 1B",5
72,"Grayson Rodriguez Bal, SP",6
73,"Oneil Cruz Pit, SS",7
96,"Alexis Diaz Cin, RP",8
97,"Evan Carter Tex, LF",9
120,"Evan Phillips LAD, RP",10
121,"Lane Thomas Wsh, RF",11
144,"Francisco Alvarez NYM, C",12
145,"Christian Encarnacion-Strand Cin, 1B",13
168,"Ke'Bryan Hayes Pit, 3B",14
169,"Nolan Gorman StL, 2B",15
192,"Lourdes Gurriel Jr. Ari, LF",16
193,"Eduardo Rodriguez Ari, SP",17
216,"Jung Hoo Lee SF, CF",18
217,"Jeimer Candelario Cin, 3B",19
240,"Nick Pivetta Bos, RP",20
241,"Alex Cobb SF, SP",21
264,"Kris Bryant Col, RF",22
265,"Kenta Maeda Det, SP",23
288,"Ryan Pepiot TB, RP",24
Team Stokes,,
NO.,PLAYER,ROUND
6,"Spencer Strider Atl, SP",1
19,"Francisco Lindor NYM, SS",2
30,"Ozzie Albies Atl, 2B",3
43,"Manny Machado SD, 3B",4
54,"J.T. Realmuto Phi, C",5
67,"Nolan Jones Col, LF",6
78,"Yandy Diaz TB, 1B",7
91,"Triston Casas Bos, 1B",8
102,"Sonny Gray StL, SP",9
115,"Eloy Jimenez ChW, DH",10
126,"Joe Musgrove SD, SP",11
139,"Jose Leclerc Tex, RP",12
150,"Cristian Javier Hou, SP",13
163,"Taylor Ward LAA, LF",14
174,"Chas McCormick Hou, LF",15
187,"Adbert Alzolay ChC, RP",16
198,"Robert Suarez SD, RP",17
