#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
1,Mookie Betts,LAD,R,2B/OF,2B/SS/ OF,150,672,571,115.4,32.3,90.5,14.3,160.6,85.8,40.9,1.6,301.5,106.3,80.1,9.0,4.2,6.4,3.8,0.281,0.371,0.528,0.899,0.294,13611
2,Marcus Semien,TEX,R,2B,2B,150,664,591,100.5,26.7,79.9,15.4,157.6,97.1,30.6,3.2,274.6,108.3,58.7,4.8,4.2,6.2,4.4,0.267,0.333,0.465,0.798,0.284,12533
3,Kyle Schwarber,PHI,L,OF,OF,150,654,539,103.9,39.1,86.9,5.5,120.9,62.3,17.9,1.5,259.3,189.2,100.6,6.5,4.2,5.7,1.9,0.224,0.349,0.481,0.829,0.259,16478
4,Luis Arraez,MIA,L,2B,1B/2B,151,653,589,89.1,9.2,61.9,5.5,186.2,145.6,28.0,3.3,248.4,46.1,50.0,4.6,4.2,5.5,2.3,0.316,0.368,0.422,0.790,0.329,650333
5,Trea Turner,PHI,R,SS,SS,150,648,591,88.3,21.1,78.4,23.9,164.4,106.0,33.6,3.7,268.8,128.8,44.7,5.1,4.6,4.0,5.2,0.278,0.331,0.455,0.786,0.322,16252
6,Alex Bregman,HOU,R,3B,3B,150,648,552,95.0,23.6,84.7,3.0,147.0,90.0,31.0,2.3,253.4,82.4,81.5,8.6,4.8,1.5,1.2,0.266,0.366,0.459,0.825,0.274,17678
7,Freddie Freeman,LAD,L,1B,1B,150,648,556,97.5,25.3,95.5,12.9,168.1,100.1,41.2,1.5,288.2,107.3,73.5,9.3,4.8,2.2,4.2,0.302,0.387,0.518,0.905,0.333,5361
8,Juan Soto,NYY,L,OF,OF,151,647,508,109.3,37.4,103.2,11.2,144.7,77.4,28.5,1.4,288.1,104.6,124.2,3.9,4.7,3.2,4.3,0.284,0.421,0.567,0.988,0.289,665742
9,Paul Goldschmidt,STL,R,1B,1B,150,647,554,92.6,26.3,82.8,7.8,149.0,92.0,30.1,0.6,259.2,147.4,78.9,5.1,4.7,3.5,2.6,0.269,0.360,0.468,0.827,0.319,9218
10,Ketel Marte,ARI,S,2B,2B,150,646,567,89.5,20.3,76.4,6.9,156.2,100.4,29.6,6.0,258.6,111.2,64.7,5.9,4.6,4.0,2.5,0.276,0.351,0.456,0.808,0.309,13613
11,Nico Hoerner,CHC,R,2B/SS,2B/SS,148,645,580,85.0,11.2,59.6,30.1,163.6,121.0,27.4,4.0,232.7,78.7,46.4,10.4,4.6,4.0,9.2,0.283,0.341,0.401,0.742,0.308,663538
12,Austin Riley,ATL,R,3B,3B,151,645,574,96.2,34.8,110.2,2.4,158.9,92.1,29.9,2.1,297.3,155.3,56.1,10.3,4.9,0.9,1.1,0.277,0.349,0.518,0.867,0.319,663586
13,Julio Rodriguez,SEA,R,OF,OF,151,645,578,97.4,31.8,88.8,30.0,162.8,89.7,38.7,2.5,302.0,146.8,49.6,9.2,4.5,4.2,10.2,0.282,0.343,0.522,0.866,0.324,677594
14,Bobby Witt Jr.,KC,R,SS,SS,151,645,589,95.3,29.4,88.9,40.3,164.6,99.4,28.6,7.2,295.7,111.7,40.6,5.8,4.6,4.0,13.5,0.279,0.327,0.502,0.828,0.299,677951
15,Gunnar Henderson,BAL,L,SS/3B,SS/3B,152,645,566,90.4,27.4,88.6,10.7,147.8,82.8,31.8,5.8,273.4,154.3,65.4,5.2,4.8,2.0,4.3,0.261,0.338,0.483,0.822,0.309,683002
16,Rafael Devers,BOS,L,3B,3B,150,644,567,100.0,34.7,98.8,4.7,162.2,92.4,34.2,1.0,302.4,123.5,60.2,7.7,4.6,3.5,2.2,0.286,0.358,0.533,0.891,0.309,646240
17,Brandon Nimmo,NYM,L,OF,OF,147,643,551,97.6,18.9,67.5,5.7,148.7,93.2,31.8,4.8,246.7,130.7,73.8,11.1,4.0,6.1,2.2,0.269,0.363,0.448,0.811,0.320,12927
18,Ronald Acuna Jr.,ATL,R,OF,OF,142,643,550,123.0,35.4,97.4,46.4,175.8,106.5,31.3,2.6,318.5,99.1,74.4,9.7,4.0,6.1,12.0,0.320,0.405,0.580,0.984,0.335,660670
19,CJ Abrams,WSH,L,SS,SS,152,642,587,81.8,17.5,66.6,36.6,153.1,97.3,33.5,4.8,248.8,115.3,33.1,11.7,4.3,5.7,10.4,0.261,0.308,0.424,0.732,0.296,682928
20,Jose Ramirez,CLE,S,3B,3B,150,641,559,93.4,27.1,87.4,22.8,158.3,88.3,39.1,3.8,286.3,79.2,70.6,5.4,4.9,1.1,6.4,0.283,0.366,0.512,0.878,0.286,13510
21,Corbin Carroll,ARI,L,OF,OF,147,641,560,95.2,24.0,76.9,39.0,152.8,95.8,25.1,7.9,265.6,130.3,60.9,11.1,4.3,4.8,10.7,0.273,0.350,0.475,0.825,0.314,682998
22,Christian Yelich,MIL,L,OF,OF,150,640,547,84.4,19.5,72.0,20.6,144.0,93.7,28.8,2.0,235.4,146.3,83.7,5.1,4.6,2.8,5.2,0.264,0.364,0.431,0.795,0.323,11477
23,Matt Olson,ATL,L,1B,1B,150,640,544,104.8,39.8,110.7,1.2,146.7,77.1,28.2,1.6,297.6,144.4,86.1,5.8,4.4,1.5,0.5,0.270,0.373,0.547,0.920,0.294,14344
24,Kyle Tucker,HOU,L,OF,OF,151,639,559,96.7,32.7,103.5,25.4,160.5,97.0,27.2,3.5,292.8,95.8,70.6,3.2,4.6,1.2,6.5,0.287,0.367,0.524,0.891,0.293,663656
25,Bo Bichette,TOR,R,SS,SS,148,637,588,89.4,23.8,84.1,11.2,171.4,106.8,38.5,2.2,285.8,123.2,36.2,4.0,4.6,3.9,3.9,0.292,0.332,0.486,0.818,0.331,666182
26,Bryan Reynolds,PIT,S,OF,OF,148,637,561,87.8,23.7,77.0,8.7,150.9,93.5,29.9,4.0,259.7,137.5,59.9,9.0,4.6,4.1,3.4,0.269,0.345,0.463,0.808,0.314,668804
27,Vladimir Guerrero Jr.,TOR,R,1B,1B,151,636,556,91.3,30.3,96.3,6.3,156.3,91.3,34.2,0.6,282.5,94.8,66.9,6.9,4.8,1.1,2.7,0.282,0.362,0.508,0.870,0.289,665489
28,Shohei Ohtani,LAD,L,DH,DH,145,634,532,105.5,37.4,100.3,18.7,145.7,74.0,29.1,5.2,297.4,157.6,87.3,5.1,4.6,3.5,6.8,0.274,0.375,0.558,0.934,0.317,6602710
29,Randy Arozarena,TB,R,OF,OF,151,633,553,83.1,22.8,80.9,23.3,142.6,87.6,29.4,2.9,246.1,159.2,63.9,11.8,4.7,1.1,9.2,0.258,0.345,0.445,0.791,0.319,668227
30,Ha-Seong Kim,SD,R,2B/SS/ 3B,2B/SS/ 3B,151,632,555,78.3,16.4,63.5,25.5,136.8,91.4,27.6,1.3,216.4,123.0,64.7,5.6,4.8,3.2,7.8,0.247,0.328,0.390,0.718,0.287,673490
31,Francisco Lindor,NYM,S,SS,SS,150,630,556,83.6,25.3,84.0,19.9,142.1,85.5,29.1,2.2,251.6,122.8,59.9,8.9,4.6,3.0,6.3,0.255,0.335,0.452,0.787,0.283,12916
32,Spencer Torkelson,DET,R,1B,1B,151,628,547,81.4,29.0,85.1,2.6,132.0,76.7,25.0,1.4,246.7,145.8,68.6,6.7,4.7,1.4,1.2,0.242,0.330,0.451,0.782,0.274,679529
33,Xander Bogaerts,SD,R,SS,SS,150,627,556,78.6,18.7,77.1,11.5,153.3,102.4,30.7,1.5,243.1,113.8,57.1,6.7,4.3,3.9,3.5,0.275,0.346,0.437,0.784,0.315,12161
34,Ian Happ,CHC,S,OF,OF,151,627,537,77.3,20.2,75.4,11.1,134.7,85.3,26.7,2.5,226.9,148.8,75.9,6.4,4.3,3.6,3.9,0.251,0.346,0.422,0.768,0.307,664023
35,Fernando Tatis Jr.,SD,R,OF,OF,145,627,555,97.4,33.7,87.5,24.9,154.0,86.3,32.6,1.3,290.3,134.4,59.7,4.5,4.4,4.2,7.4,0.277,0.348,0.523,0.871,0.307,665487
36,J.P. Crawford,SEA,L,SS,SS,150,626,533,83.9,12.8,58.7,3.9,137.6,86.6,37.2,0.9,215.2,108.2,76.2,6.9,4.1,5.4,1.5,0.258,0.353,0.404,0.757,0.300,15491
37,Ozzie Albies,ATL,S,2B,2B,145,623,565,93.4,26.9,91.0,12.1,158.0,94.6,32.8,3.7,279.1,103.6,44.1,5.7,4.5,3.7,4.0,0.279,0.334,0.494,0.827,0.298,16556
38,Jose Altuve,HOU,R,2B,2B,140,623,544,98.2,23.9,74.9,14.8,148.5,92.7,30.4,1.6,253.7,101.0,62.4,6.6,3.9,5.9,4.8,0.273,0.350,0.466,0.816,0.295,5417
39,Lane Thomas,WSH,R,OF,OF,151,622,560,77.1,21.8,71.2,14.3,138.3,82.8,31.3,2.5,240.0,156.6,45.7,7.0,4.4,4.3,5.6,0.247,0.308,0.429,0.736,0.302,657041
40,Adolis Garcia,TEX,R,OF,OF,148,622,562,79.6,30.4,93.4,12.7,136.3,77.8,26.5,1.6,257.2,178.1,49.0,6.5,4.3,1.0,4.5,0.243,0.308,0.458,0.766,0.296,666969
41,Steven Kwan,CLE,L,OF,OF,147,622,546,83.2,8.5,55.5,17.6,153.2,106.1,33.6,5.0,222.4,66.8,61.9,5.0,3.9,5.8,5.2,0.280,0.353,0.407,0.760,0.305,680757
42,Pete Alonso,NYM,R,1B,1B,150,619,541,88.5,39.2,104.8,3.9,134.7,71.2,22.8,1.5,278.0,135.4,63.4,12.5,4.5,0.8,1.6,0.249,0.340,0.514,0.854,0.258,624413
43,Christian Walker,ARI,R,1B,1B,150,618,545,77.9,27.0,90.3,5.3,138.6,83.1,26.6,1.9,249.9,128.0,60.4,7.0,4.2,0.9,2.2,0.254,0.334,0.458,0.792,0.283,13419
44,Andres Gimenez,CLE,L,2B,2B,150,618,556,75.1,18.3,72.5,25.5,147.9,92.8,33.2,3.7,243.3,115.1,37.0,17.5,4.5,3.3,7.6,0.266,0.327,0.438,0.765,0.303,665926
